"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"P290059","PASSENGER","28cab66b94ce2f50f39c832ac01313d99c23e7438d3f0c6238d51b9b7899e34dc37ae46befd58022a28cabbc1b87e197d068817242ba7a4c683ca60233dc2e6f",,"1237528","2022-03-22T10:05:00.000","3","CHICAGO","IL",,"F","22",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303398","DRIVER","4f0b886abc57ed706c773c48da1a30a561f50ac24f885fb959260ea43c3676ddefe3cfbe4c844282a828d77591e02be667f4ab7955017021973612194b437da9",,"1237801","2022-03-22T10:00:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303113","DRIVER","4e66748b981c32c4794659138cf912677998c62790abf74188ced3ad007de70a42e290714ef531c5bc4b9bfd0f4e1accc4bac9f7a4816b68b6d05414b5924a68",,"1237522","2022-03-22T09:51:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303114","DRIVER","4e66748b981c32c4794659138cf912677998c62790abf74188ced3ad007de70a42e290714ef531c5bc4b9bfd0f4e1accc4bac9f7a4816b68b6d05414b5924a68",,"1237530","2022-03-22T09:51:00.000",,"CHICAGO",,"60624","F","43",,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P290061","PASSENGER","4e66748b981c32c4794659138cf912677998c62790abf74188ced3ad007de70a42e290714ef531c5bc4b9bfd0f4e1accc4bac9f7a4816b68b6d05414b5924a68",,"1237530","2022-03-22T09:51:00.000","6","CHICAGO","IL","60624","F","43",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303085","DRIVER","12711145349b425d643e900f82f1bbc396dcc951d808c7c4240ebf3164a851aaca35453978f8cad146828199222abc6266ef2a0defa87d69b34ce655997cfad7",,"1237499","2022-03-22T09:50:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303081","DRIVER","ee4891e1daa136d505f18fcd4094bc1e981845dd2094380543fc47efbc4c1c89a4ca4ae5b2a6445045382fd4bdd5899be3498d437a62108d009d8708d461c7bd",,"1237500","2022-03-22T09:50:00.000",,"CHICAGO","IL","60634","F","47","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303082","DRIVER","ee4891e1daa136d505f18fcd4094bc1e981845dd2094380543fc47efbc4c1c89a4ca4ae5b2a6445045382fd4bdd5899be3498d437a62108d009d8708d461c7bd",,"1237504","2022-03-22T09:50:00.000",,"VILLA PARK","IL","60181","F","32","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303091","DRIVER","6d3ce7aff5c2e2007c3a59e9f5cfec3e05e657e4103ce33a3e3445165b1e99679ab7e071c42e0052002f044076020f9f9b7e004276bbdd88087f7ca2ef9cfa9a",,"1237506","2022-03-22T09:46:00.000",,"CHICAGO","IL","60646","M","63","IL","CD","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303092","DRIVER","6d3ce7aff5c2e2007c3a59e9f5cfec3e05e657e4103ce33a3e3445165b1e99679ab7e071c42e0052002f044076020f9f9b7e004276bbdd88087f7ca2ef9cfa9a",,"1237510","2022-03-22T09:46:00.000",,"CHICAGO","IL","60625","F","45","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303105","DRIVER","1d50c2b0deb8b6fd7728e2ea1e4289532b392128aff19757d295e025dee74a9ba5504ecdbccc5c32544e4891784692d4cab34ae7fcec72922a76850fe254464f",,"1237520","2022-03-22T09:40:00.000",,"CHICAGO RIDGE","IL","60415","M","38","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER TURN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303106","DRIVER","1d50c2b0deb8b6fd7728e2ea1e4289532b392128aff19757d295e025dee74a9ba5504ecdbccc5c32544e4891784692d4cab34ae7fcec72922a76850fe254464f",,"1237543","2022-03-22T09:40:00.000",,"CHICAGO","IL","60620","F","40","IL","B","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303426","DRIVER","c23af5c7ee3e441cc93ab9c0b879fbedb4071c72c0f0e9b88e72c42242718df2b38bc4c94f08fc3ff704972cb5730400fe35bacc50bc384cc73f2eb911c225ed",,"1237836","2022-03-22T09:30:00.000",,"CHICAGO","IL","60615","F","46","IL","DM","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303427","DRIVER","c23af5c7ee3e441cc93ab9c0b879fbedb4071c72c0f0e9b88e72c42242718df2b38bc4c94f08fc3ff704972cb5730400fe35bacc50bc384cc73f2eb911c225ed",,"1237839","2022-03-22T09:30:00.000",,"CHICAGO","IL","60643","F","40","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303077","DRIVER","1c1998f927e52bf7ab53b48d55e877117cb92339b1fc7d746038a383ff89b85f485df371e550e86d009610894bb28b269ed1db5f198c7ede00cb77f6d94f7c2a",,"1237494","2022-03-22T09:15:00.000",,"MERRIVILLE","IN","46410","M",,"IN",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303078","DRIVER","1c1998f927e52bf7ab53b48d55e877117cb92339b1fc7d746038a383ff89b85f485df371e550e86d009610894bb28b269ed1db5f198c7ede00cb77f6d94f7c2a",,"1237497","2022-03-22T09:15:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303083","DRIVER","972824dbd26e6d1c5d865b297d7cad25d07d2ef01a10f9c8e1c2b007089106984f60bcafcff5c0c3d2ab7dabf3276e330357343cce3b3ac09464d534562bf72e",,"1237502","2022-03-22T09:15:00.000",,"ZURICH","IL","60047","F",,"IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED",,,"OVERCORRECTED","OTHER","NORMAL",,,,"TEST NOT OFFERED",,
"P290060","PASSENGER","972824dbd26e6d1c5d865b297d7cad25d07d2ef01a10f9c8e1c2b007089106984f60bcafcff5c0c3d2ab7dabf3276e330357343cce3b3ac09464d534562bf72e",,"1237502","2022-03-22T09:15:00.000","6","ZURICH","IL","60047","M",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED BY MOTHER",,,,,,,,,,,
"O1303067","DRIVER","f123074e7e67fbcc230d4f281c470be9f74ff2a83145a181057a6de1c5b43f362b730ad08e629e4b0d5b1732fd590a310c6f9ab02fdac799794e84c71b22e387",,"1237483","2022-03-22T09:15:00.000",,"CHICAGO","IL","60613","F","45","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303068","DRIVER","f123074e7e67fbcc230d4f281c470be9f74ff2a83145a181057a6de1c5b43f362b730ad08e629e4b0d5b1732fd590a310c6f9ab02fdac799794e84c71b22e387",,"1237485","2022-03-22T09:15:00.000",,"CHICAGO","IL","60645","M","53","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303075","DRIVER","28e0b49e004d803630aea7f58d1cecb8eced078e779278870c0ca1d469707a1ea3625e5a0fd0566c7eb5520890c84924d23fb326f3cd3d9e240f4e56cda9d91e",,"1237495","2022-03-22T09:00:00.000",,,,,"X",,"XX",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303180","DRIVER","4c4a9cc2093f45bbb8ff1e09bb1baca86e6058b1d4457538639d0d8b00edb975cb343f6a80640639af880c30461130a3a20ad1cd3456c4f2c64c8ebbaafc23c3",,"1237588","2022-03-22T09:00:00.000",,,,,"X",,"XX",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303123","DRIVER","86b54aff621aa3cff5a4386350af8e98a888aff90cbc2e69b0a80e1fd63f2f12abeb6d0b11ee450041d63421720f4ec6ff39ed59ee40b0d24f3c730888571dc2",,"1237539","2022-03-22T09:00:00.000",,"CHGO","IL","60634","F","29","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303124","DRIVER","86b54aff621aa3cff5a4386350af8e98a888aff90cbc2e69b0a80e1fd63f2f12abeb6d0b11ee450041d63421720f4ec6ff39ed59ee40b0d24f3c730888571dc2",,"1237548","2022-03-22T09:00:00.000",,"HOFFMAN ESTATES","IL","60169","M","41","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303059","DRIVER","be4a4eaf1c0fc891b86651a9bd5dc5a57a21029ee2991f5c017e79db6c73c9a22caf37320215df787c1b8ba985b105e6fb466086961f44fbaa621714858487c5",,"1237478","2022-03-22T09:00:00.000",,"CHICAGO","IL","60641","M","66","IL","A","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","DNA",,,"OTHER","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303060","DRIVER","be4a4eaf1c0fc891b86651a9bd5dc5a57a21029ee2991f5c017e79db6c73c9a22caf37320215df787c1b8ba985b105e6fb466086961f44fbaa621714858487c5",,"1237480","2022-03-22T09:00:00.000",,"CHICAGO","IL","60647","M","25","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","DNA",,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303176","DRIVER","8ce9f7958d0fa1e0d642b4a71dfa488c0a3dbfd1128804bae170c5614e1cd138fffe3d45b9e19966802b9ae984ede3f3d6eae9d785429575d6a05bef44a07939",,"1237586","2022-03-22T08:55:00.000",,"CHICAGO","IL","60651","F","32","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P290065","PASSENGER","8ce9f7958d0fa1e0d642b4a71dfa488c0a3dbfd1128804bae170c5614e1cd138fffe3d45b9e19966802b9ae984ede3f3d6eae9d785429575d6a05bef44a07939",,"1237590","2022-03-22T08:55:00.000","1","RIVER FOREST","IL","60305","F","35",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303073","DRIVER","bb2ea47001daa8f90fbe10178c000629f7ad94d07f1a5e84722e29cd59ba83550674ebf79db7b55490896cda428ee2886378ba3e4ca3538d76c450f6a1fbfe73",,"1237490","2022-03-22T08:50:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"IMPROPER BACKING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303069","DRIVER","61f0a72f7b809c56bc874d0d4456623e13f3ed3bea8832f6685596954ba62499dd8752a5f9cc060e0bebd4f28a8afe174863909b7cac5967e56b7e59879e34ed",,"1237491","2022-03-22T08:45:00.000",,"CHICAGO","IL","60637","M","35","IL","AM","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED",,,"FAILED TO YIELD","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303070","DRIVER","61f0a72f7b809c56bc874d0d4456623e13f3ed3bea8832f6685596954ba62499dd8752a5f9cc060e0bebd4f28a8afe174863909b7cac5967e56b7e59879e34ed",,"1237493","2022-03-22T08:45:00.000",,"CHICAGO","IL","60619","M","17","IL","D","SAFETY BELT USED","DEPLOYED, SIDE","NONE","NO INDICATION OF INJURY","REFUSED",,,"NONE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303360","DRIVER","6c06593c9fea3a69a7317bebb812cc3bf04471bc9d037f812f3251a473c250dd345fa97ba847dab8c4eb1180ed2a4caed5f894bb1096408ced1fbb1cc542f18e",,"1237766","2022-03-22T08:45:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY","UNKNOWN",,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303051","DRIVER","764ebc854743f9b4b03634dae107d2bdd9944b79e783668e112c9d7664397d43cf058df2e4a851bf23a0fee2c243955365325bbc47664551f39f4f1ad77c9e2e",,"1237464","2022-03-22T08:24:00.000",,"CHICAGO","IL","60613","F","35","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303052","DRIVER","764ebc854743f9b4b03634dae107d2bdd9944b79e783668e112c9d7664397d43cf058df2e4a851bf23a0fee2c243955365325bbc47664551f39f4f1ad77c9e2e",,"1237473","2022-03-22T08:24:00.000",,"CHICAGO","IL","60613","M","28","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303025","DRIVER","e524c501d1d74123cb3b6354766002ee7409625eea5f7fcbdfade77f0d0cfd2e433bfb17c5e8104456201d3b78cef3534fc60a2a2c0756dd501f7b5a083ae20b",,"1237443","2022-03-22T08:24:00.000",,"CHICAGO","IL","60644","M","18","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303026","DRIVER","e524c501d1d74123cb3b6354766002ee7409625eea5f7fcbdfade77f0d0cfd2e433bfb17c5e8104456201d3b78cef3534fc60a2a2c0756dd501f7b5a083ae20b",,"1237450","2022-03-22T08:24:00.000",,"CHICAGO","IL","60601","F",,"IL","A","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P290049","PASSENGER","e524c501d1d74123cb3b6354766002ee7409625eea5f7fcbdfade77f0d0cfd2e433bfb17c5e8104456201d3b78cef3534fc60a2a2c0756dd501f7b5a083ae20b",,"1237443","2022-03-22T08:24:00.000","3",,,,"F",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303049","DRIVER","6fd11c18193042d275ccc3cda30242926235c6699902cc3e1e5fe6db0593f8b3927eee817a3690eabde8e4b86bba29e8cda4c6524fc102f1131a03d5d1090ce5",,"1237465","2022-03-22T08:20:00.000",,"GRAFTON","OH","44044","X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303055","DRIVER","ca8ec40871d205406c81a0f526ae93aa18649ad3913b3485cfee3d3ebb687b58033af9647a85b2b08d2790722fb09adf4b5b89296b2f7cfe559dc549ace86e04",,"1237467","2022-03-22T08:20:00.000",,"CHICAGO","IL","60623","F","25","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303056","DRIVER","ca8ec40871d205406c81a0f526ae93aa18649ad3913b3485cfee3d3ebb687b58033af9647a85b2b08d2790722fb09adf4b5b89296b2f7cfe559dc549ace86e04",,"1237472","2022-03-22T08:20:00.000",,"CHICAGO","IL","60620","M","66","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P290051","PASSENGER","ca8ec40871d205406c81a0f526ae93aa18649ad3913b3485cfee3d3ebb687b58033af9647a85b2b08d2790722fb09adf4b5b89296b2f7cfe559dc549ace86e04",,"1237467","2022-03-22T08:20:00.000","3",,,,"F","6",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303038","DRIVER","b536d06366d4e1defe5383189dc2291f8c9d2c00487be71b9443d88bf6157f744dadebfacf3c51d37c6bc01efeb8c7a90b9c5aab58646bb1e2f5c9d49590a6f4",,"1237455","2022-03-22T08:15:00.000",,"PARK RIDGE","IL","60068","M","31","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303039","DRIVER","b536d06366d4e1defe5383189dc2291f8c9d2c00487be71b9443d88bf6157f744dadebfacf3c51d37c6bc01efeb8c7a90b9c5aab58646bb1e2f5c9d49590a6f4",,"1237457","2022-03-22T08:15:00.000",,"SCHILLER PARK","IL","60176","M","27","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303053","DRIVER","916c38d960c54cbad81dbf7cc0f47fbb7a17bcb1f5654493e426abdace6b5a6cd855578735f9d4e0f8efc97adc23c4707dbb89bea658dfa80ea12b8bf7a83b32",,"1237466","2022-03-22T08:08:00.000",,"CHICAGO","IL","60626","M","67","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","DECLINED",,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303054","DRIVER","916c38d960c54cbad81dbf7cc0f47fbb7a17bcb1f5654493e426abdace6b5a6cd855578735f9d4e0f8efc97adc23c4707dbb89bea658dfa80ea12b8bf7a83b32",,"1237476","2022-03-22T08:08:00.000",,"CHICAGO","IL","60626","F","38","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","DECLINED",,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303045","DRIVER","c8ff8ac5ab147c972d1f72b5f74f66f2be083d46bf07b633b2b83e79c6cd9602cafd0a514b36cb1ee80296835fcda5de3516135bc7980c841592270e4c216f2b",,"1237461","2022-03-22T08:07:00.000",,"VILLA PARK","IL","60181","M","49","IL","C","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303046","DRIVER","c8ff8ac5ab147c972d1f72b5f74f66f2be083d46bf07b633b2b83e79c6cd9602cafd0a514b36cb1ee80296835fcda5de3516135bc7980c841592270e4c216f2b",,"1237471","2022-03-22T08:07:00.000",,"COUNTRY CLUB HILLS","IL","60478","F","32","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303040","DRIVER","95a5a877f05921f6baece090375edee8cea1ecbef20eff0a0564a67caf032ce0f6bc0eebf7055fe3f6f7c15c45ec7866965e0e5bb7c74bae0984e0dff65896ff",,"1237459","2022-03-22T08:06:00.000",,"CHICAGGO","IL","60624","F","31","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","NOT OBSCURED","NORMAL",,,,"TEST REFUSED",,
"O1303041","DRIVER","95a5a877f05921f6baece090375edee8cea1ecbef20eff0a0564a67caf032ce0f6bc0eebf7055fe3f6f7c15c45ec7866965e0e5bb7c74bae0984e0dff65896ff",,"1237475","2022-03-22T08:06:00.000",,"CHICAGO",,"60629","M","30","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P290054","PASSENGER","95a5a877f05921f6baece090375edee8cea1ecbef20eff0a0564a67caf032ce0f6bc0eebf7055fe3f6f7c15c45ec7866965e0e5bb7c74bae0984e0dff65896ff",,"1237475","2022-03-22T08:06:00.000","3","CHICAGO","IL","60629","F",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303033","DRIVER","22f408c19f8820dd15aa896e7f8190764c2fd8762a0b66f4737abf5c25ab6d516cef403542cb0d6eda6cd8f2d3c766464fef9cefadac6b1ada0208a227bf9acd",,"1237458","2022-03-22T07:58:00.000",,"ROBBINS","IL","60472","M","20","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303034","DRIVER","22f408c19f8820dd15aa896e7f8190764c2fd8762a0b66f4737abf5c25ab6d516cef403542cb0d6eda6cd8f2d3c766464fef9cefadac6b1ada0208a227bf9acd",,"1237462","2022-03-22T07:58:00.000",,"CHICAGO","IL","60629","F","43","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303035","DRIVER","22f408c19f8820dd15aa896e7f8190764c2fd8762a0b66f4737abf5c25ab6d516cef403542cb0d6eda6cd8f2d3c766464fef9cefadac6b1ada0208a227bf9acd",,"1237468","2022-03-22T07:58:00.000",,"CHICAGO","IL","60629","F","61","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","REPORTED, NOT EVIDENT",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303030","DRIVER","5d5c142091060d6aeab726b2a74b3c1449d05e4fd87b20080d39f78d8caf1fcb565aed85e1e8e01e755b7b456ae7c9e67fd578fea32567453c83db189f89b23c",,"1237448","2022-03-22T07:55:00.000",,"NAPERVILLE","IL","60563","F","34","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303031","DRIVER","5d5c142091060d6aeab726b2a74b3c1449d05e4fd87b20080d39f78d8caf1fcb565aed85e1e8e01e755b7b456ae7c9e67fd578fea32567453c83db189f89b23c",,"1237453","2022-03-22T07:55:00.000",,"CHICAGO","IL","60655","F","36","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303028","DRIVER","5260a4fbbca9cc6b3faef411fb643ce81c6a5af7a1f0165c04120f3dc5083fb8a98b5426d13046ce81330b1d3dc68a3521dbf8a89de04eabfc361a780a150d99",,"1237452","2022-03-22T07:54:00.000",,"CICERO","IL","60804","M","31","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED",,,"OTHER","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303023","DRIVER","632e41bad96330f73c49872a6f58f9b866cd9ff96632e83176b021f956ba1cca901f8e551029c256e40b8c971792c561e6248b3940858fad24a239d92fb814c0",,"1237442","2022-03-22T07:50:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303024","DRIVER","632e41bad96330f73c49872a6f58f9b866cd9ff96632e83176b021f956ba1cca901f8e551029c256e40b8c971792c561e6248b3940858fad24a239d92fb814c0",,"1237447","2022-03-22T07:50:00.000",,,,,"F","22","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303019","DRIVER","c60edc2533bb95d96fb1173aac18a1f0949c6b446871e145d662ed8ec2aa6cb1531b2f6b8b509ad6d74903c56349c8fce7d8b0c1c8c7539f792199d31390eb62",,"1237432","2022-03-22T07:50:00.000",,"CHICAGO","IL","60634","F","23","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303020","DRIVER","c60edc2533bb95d96fb1173aac18a1f0949c6b446871e145d662ed8ec2aa6cb1531b2f6b8b509ad6d74903c56349c8fce7d8b0c1c8c7539f792199d31390eb62",,"1237438","2022-03-22T07:50:00.000",,"CHICAGO","IL","60646","M",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"TOO FAST FOR CONDITIONS","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303021","DRIVER","67d08aa59c8963fb795282e4d9dfe214bec233b76b9f13af23b09f2ef1015204161b9f7ba69666fe5ee1a86600de790079a58df47959d25c28f8e2a81efc0158",,"1237435","2022-03-22T07:47:00.000",,"CHICAGO","IL","60632","F",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
